,d,svr,en,rfr
0,780,-15095.546584544009,-3579.0166829125474,-16322.63030490002
1,794,-15548.602915391544,-3963.4117502927206,-16850.49732805304
2,813,-16047.273130913924,-4609.216722730084,-17181.22229982288
3,814,-16058.114716436816,-4639.713418501575,-17204.852826022874
4,815,-16055.828812746138,-4670.0749242638285,-17193.9493477019
5,816,-16072.31156609983,-4703.16218921949,-17203.584163243726
6,817,-16074.167661098147,-4742.957673249545,-17220.414992676713
7,818,-16097.453626927458,-4780.19658845606,-17223.066987971455
8,819,-16091.228037710312,-4816.362848848448,-17223.310283526276
9,820,-16092.484389825637,-4855.780212084921,-17247.67850596
10,822,-16101.59085434363,-4928.976721967742,-17210.946665865282
11,781,-15134.769120625018,-3609.2236964522344,-16361.857169004903
12,782,-15142.190409550432,-3641.9221932226696,-16428.917699520338
13,784,-15200.397028788973,-3703.357069680219,-16444.74891539829
14,783,-15183.852751920746,-3674.3317414646367,-16390.096960401053
15,824,-16119.69632708209,-5003.338904558098,-17239.785870142012
16,825,-16126.870278826515,-5036.804831966016,-17260.54384882118
17,826,-16130.768498752499,-5072.404376421227,-17252.722732890412
18,790,-15377.678158923016,-3857.8268123110643,-16676.84409826315
19,788,-15325.20492336694,-3807.3312436761325,-16581.580571652226
20,787,-15292.810840195467,-3782.325040197005,-16519.253331697382
21,785,-15226.574260535652,-3729.122343478213,-16488.092944843513
22,827,-16161.955145588105,-5108.178273429086,-17241.396072762902
23,828,-16164.396700166442,-5139.262570850831,-17308.02097074587
24,829,-16191.167650322566,-5171.6258475086015,-17283.65543789017
25,793,-15484.596598734577,-3934.11941897215,-16800.22064094492
26,830,-16224.752311351753,-5203.4108800182785,-17356.531951547906
27,798,-15657.780150186409,-4088.9453888327057,-16992.386502161156
28,832,-16277.399880387718,-5269.32542517934,-17378.181984508283
29,831,-16248.96699363963,-5236.09120273655,-17371.40132551482
30,796,-15626.840447078583,-4023.715714378041,-16944.365099708444
31,806,-15884.93076876048,-4374.009571511289,-17038.843683562147
32,833,-16295.476657567327,-5301.3063888862125,-17397.657695005575
33,837,-16268.336147479147,-5422.659210861209,-17400.764473497697
34,805,-15873.012355950521,-4337.860262927323,-17066.932398009558
35,804,-15853.685832185583,-4302.012896786035,-17051.363474409696
36,791,-15411.56227430446,-3881.859927040149,-16759.980081020996
37,835,-16313.026229331505,-5359.598008875912,-17398.429327080925
38,839,-16268.694990795684,-5484.437554014087,-17374.17076465401
39,836,-16294.67509747524,-5388.639304571117,-17406.502908998333
40,841,-16262.882433322615,-5553.333278215177,-17336.78402547689
41,838,-16302.07106641454,-5453.941790112943,-17387.90672637909
42,812,-16023.837416387361,-4576.6248637764165,-17184.061166979514
43,789,-15353.233764122433,-3831.159065036307,-16636.37916853074
44,843,-16231.54106192298,-5614.688348182221,-17331.228043760195
45,807,-15897.421189233757,-4408.395994118944,-17072.371492553913
46,842,-16252.948578443766,-5584.230932694457,-17298.828585894684
47,800,-15770.472126719274,-4159.668341277512,-17009.398328483134
48,808,-15910.420434516207,-4444.274835442542,-17068.39471218438
49,844,-16203.592143823953,-5643.142689230357,-17308.835647546854
50,802,-15816.79667567898,-4225.810214479883,-17049.807425294013
51,847,-16060.311549109145,-5736.894621007648,-17178.795626612125
52,859,-15404.061543281707,-6110.992143966512,-16336.926298631195
53,854,-15755.61491633654,-5977.656226223475,-16666.770412287275
54,850,-15901.66919876737,-5837.058577520089,-17004.93908613087
55,809,-15944.103210312445,-4477.216428353826,-17099.032170743652
56,852,-15844.652063423324,-5913.6162216597895,-16740.787804616608
57,857,-15569.639937091004,-6059.055694542487,-16470.06875579152
58,786,-15259.125744311525,-3754.323529591772,-16504.512498789838
59,851,-15907.655499036216,-5875.742500315413,-16937.19268004214
60,856,-15645.167263825217,-6035.543760343784,-16536.1023540252
61,811,-15977.962657707774,-4545.960935764515,-17147.01840230066
62,858,-15481.802972796764,-6084.696593678756,-16405.962984451613
63,845,-16153.597745690604,-5673.603072549886,-17259.965248344943
64,801,-15793.47286994482,-4192.341217247706,-17010.657173168696
65,846,-16113.189684047715,-5703.545473488533,-17194.202068590697
66,853,-15801.118308196872,-5948.007520749539,-16704.885449340163
67,849,-15973.811739509158,-5806.445259412483,-17061.589560653752
68,860,-15336.597989547423,-6137.793002333741,-16234.8132255658
69,810,-15966.1746372005,-4512.020427410875,-17094.623307333077
70,840,-16236.75767061387,-5519.256262793098,-17353.674380509045
71,861,-15270.978248615127,-6165.950276091347,-16172.150775661954
72,865,-15687.626418355401,-6285.495282708381,-16558.774768812484
73,864,-15773.395508100932,-6258.4234943662195,-16598.498221762635
74,874,-16543.835539836735,-6560.007136775483,-16702.59264166141
75,862,-15240.290670384165,-6196.161406833168,-16219.164483565673
76,887,-15181.351308407662,-6906.772525649445,-15212.85917335017
77,872,-16537.56807569982,-6495.76324035516,-16873.914123336206
78,888,-15050.87205785792,-6920.385899075506,-15062.268793334177
79,878,-16224.779457770532,-6684.065007384459,-16302.89009918383
80,877,-16287.349969073959,-6652.768065624599,-16388.666120206148
